genus,family,trophic_guilds,trophic_guild_primary,qa_has_answer,qa_answer,qa_best_collection,qa_source_docids,n_docs_retrieved,interaction_sentences,n_interaction_sentences,biotxplorer_partners,biotxplorer_max_score
Cyphoderus,Lepidocyrtidae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Cyphoderus* species. The sources primarily focus on taxonomic descriptions, morphological characteristics, and synonyms within the family Paronellidae . Therefore, the feeding ecology of *Cyphoderus* remains unspecified in the given context.",plazi,6040DE7A2535FFA25A767114FDAFFAE1(plazi)|159CFDABE5646F475BD021373A0399B9(plazi)|6CB1AEDA09E85EB254C928B8B074EDF1(plazi)|D9A229866E614449E14AF67CC489E500(plazi)|55468786AC05FFB75C85C610B95A07EC(plazi),5,,0,,
Desoria,Isotomidae,omnivore|fungivore|predator|detritivore,omnivore,True,"Based on the provided documents, Desoria ruseki feeds on corn litter and yeast as mentioned in the study . The research indicates that these two food sources led to distinct changes in the microbial communities associated with the Collembola.",medline,36504791(medline),1,"In this study, we explored the effects of three different food sources; corn litter (agriculture grain residuals), Mongolian oak litter (natural plant residuals), and yeast (common food for Collembola culture), on the microbiota of a winter-active Collembola species, Desoria ruseki.",1,,
Detriturus,Onychiuridae,unknown,unknown,False,,,,0,,0,,
Deuteraphorura,Onychiuridae,predator,predator,True,"Based on the provided documents, there is no specific information regarding the diet or feeding habits of Deuteraphorura species. The sources focus on taxonomic descriptions, redescription, and ecological contexts such as cave habitats, but do not mention dietary preferences . Further research would be needed to determine their feeding ecology.",medline,34811047(medline)|23438196(medline)|27701339(medline)|33055866(medline)|31940408(medline),5,"The family Onychiuridae (Collembola) from karst caves of the Basque biospeleologic district, with description of four new species..||The study of Onychiuridae from 42 caves of the north of the Iberian Peninsula and southwestern France has revealed the existence of 32 species inhabiting the caves of the Basque bio-speleological district, among which four new species are described: Deuteraphorura bizkaiensis sp.",2,,
Deutonura,Neanuridae,detritivore,detritivore,True,"Based on the provided documents, there is no explicit information regarding the diet or feeding habits of Deutonura species. The sources primarily focus on taxonomic descriptions, geographical distributions, and morphological characteristics of various Deutonura species . Therefore, the feeding ecology of Deutonura remains unspecified in the given context.",plazi,039187891700FF8BFF149B12FB6E62B3(plazi)|039AEC5BFFD27305FF75D5A8FE1FFAE7(plazi)|039AEC5BFFD27300FF75D1E5FCD2F9E4(plazi)|148B3247C0DD503BB4E192EF3AB43783(plazi)|0B499BA71D6A5DABB3F3228F3DEF02B8(plazi),5,"April 2009, litter of Quercus canariensis, Salah Hamra-Kroua leg.",1,,
Dicyrtoma,Dicyrtomidae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Dicyrtoma*. The sources primarily focus on taxonomic classifications, nomenclature, and geographic distributions of various species within related genera . Therefore, the feeding ecology of *Dicyrtoma* remains unspecified in the given context.",plazi,266B5D55F727FFB5FF7EFC2E468BFB40(plazi)|266B5D55F721FFB3FF7EFE844509FD61(plazi)|BA7487DEEF6DFFAAFF284200FB3109C5(plazi)|BA7487DEEF7BFFBEFF284444FD320AA3(plazi)|F94587E5FFA16F00FF77C96FFE2E3521(plazi),5,,0,,
Dicyrtomina,Dicyrtomidae,unknown,unknown,True,"Based on the provided documents, there is no explicit mention of what Dicyrtomina feeds on. The sources discuss aspects like genome sequences, lipid compositions, and taxonomy but do not provide dietary information about Dicyrtomina species . Further research would be needed to determine their feeding habits.",pmc,PMC5696395(pmc)|PMC11411247(pmc),2,,0,,
Endonura,Neanuridae,fungivore,fungivore,True,"Based on the provided documents, Endonura species are primarily specialized to feed on slime molds. This dietary preference is linked to specific morphological adaptations, such as the structure of the labrum, which allows them to consume certain types of slime molds and thereby reduces interspecies competition . Additionally, it is noted that this feeding specialization is common among Neanurinae, with many species showing a narrow diet focused on slime molds, which are typically found in humid terrestrial environments .",pmc,PMC5523199(pmc)|10.3897/asp.82.e114038(pmc),2,,0,,
Entomobrya,Entomobryidae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Entomobrya* species. The sources describe morphological characteristics, distribution, and taxonomic details but do not mention dietary preferences . Further research would be needed to determine the feeding ecology of these organisms.",plazi,5F7187D78E4BFFCFFCB4FEE19A5EA086(plazi)|011B87E9FF886560FF60C3BCFC0FBAA8(plazi)|D48E4710A944312C44ECE975B82F793A(plazi)|502D3D8B803275449FB7526EDA6A0584(plazi)|20098787FF889E4EE3E1FCFC23F4FB88(plazi),5,,0,,
Folsomia,Isotomidae,fungivore|bacterivore|predator|detritivore|omnivore,fungivore,True,"Based on the provided documents, Folsomia candida feeds on various substrates including fungal materials such as pigmented fungi and specific fungal species like Cladosporium cladosporioides , . Additionally, they consume yeast as a food source when present in their environment . Their diet may also include organic matter found in soil, potentially incorporating microorganisms through their gut .",medline,15230327(medline)|36424842(medline)|9647845(medline)|15021980(medline)|249152930DFCAD4DBC8C5096C3E82EBB(plazi)|821712A9F20315E4AAD381B34CEFE38B(plazi)|039A87B5FFFF0E05FF0FF994FB5CFD49(plazi)|03B287EEFFD7CF3DFF2FFABC4411FC3C(plazi)|266B5D55F775FFE7FF7EFF724404FE27(plazi),9,"Competition effects for copper between soil, soil solution, and yeast in a bioassay for Folsomia candida Willem..||We investigated the accumulation of copper (Cu) by the springtail Folsomia candida Willem, if exposed to Cu-contaminated sandy soil with yeast as a food source.||Addition of yeast as a food source to copper-contaminated soil leads to competition for copper by yeast and soil th||Anthropization of Palaeolithic caves open for tourism may favour collembola invasion and result in the formation of black stains attributed to pigmented fungi.||Here, we tested the hypotheses that black stains from the Apse room of Lascaux Cave display a specific microbiota enriched in pigmented fungi, and that collembola thriving on the stains have the potential to consume and disseminate these black fungi.||The gut of the soil microarthropod Folsomia candida (Collembola) is a frequently changeable but selective habitat and a vector for microorganisms..||Microscopic analysis revealed that the volumes of the simple, rod-shaped guts of adult specimens varied with their feeding activity, from 0.7 to 11.2 nl.||A dense layer of bacterial cells, associated with the peritrophic membrane, was detected in the midgut by scanning electron microscopy.||Growth and reproduction of fungal feeding Collembola as affected by fungal species, melanin and mixed diets..||Fungal feeding soil invertebrates feed on a wide spectrum of fungal species suggesting that mixed diets increase fitness.||New Zealand, southern South Island, Central Otago, Pisa Range, 44°52'03""S, 169°9'33""E, 1700 m a.s.l., in soil and debris under Dracophyllum muscoides cushion, 18.ii.2014, coll.",11,,
Folsomides,Isotomidae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet or feeding habits of any Folsomides species. The sources describe ecological distributions, taxonomy, and morphology but do not mention dietary preferences . Further research would be needed to determine their feeding ecology.",plazi,8F68E959EE6FA71FE20D7DCEFF55F954(plazi)|8F68E959EE69A715E2317E8FFC65F8B4(plazi)|8C6A711CFFC0B73AD8A8F757D4BFDC5F(plazi)|6531BB0AF158FF974D1DF9CC155C806D(plazi)|8F68E959EE69A711E0C97ECFFB78F8EE(plazi),5,,0,,
Friesea,Neanuridae,predator,predator,True,"Based on the provided documents, Friesea is known to feed on micro-invertebrates . Some specimens have been found to contain tardigrade claws and rotifer trophi (mouthparts) in their alimentary canals .",plazi,D9036F2D0B53651D1FE7CB2FFD5EFCC5(plazi),1,,0,,
Gisinianus,Katiannidae,unknown,unknown,False,,,,0,,0,,
Gnathisotoma,Isotomidae,unknown,unknown,True,"Based on the provided documents, there is no specific information given about what Gnathisotoma feeds on. The text mentions that Desoria calderonis and other cryophilic species have feeding habits that are not detailed here . Further research would be needed to determine the diet of Gnathisotoma.",pmc,10.5852/ejt.2021.787.1599(pmc),1,,0,,
Halisotoma,Isotomidae,unknown,unknown,True,"Based on the provided documents, there is no specific information about the feeding habits of *Halisotoma*. The text mentions that *Halisotoma* is recorded for the first time in South Africa but does not describe its diet or feeding behavior . Further research would be needed to determine what *Halisotoma* feeds on.",medline,38221334(medline),1,All s-chaetae on the body of Folsomotoma amyliuae sp.,1,,
Hemisotoma,Isotomidae,omnivore|fungivore|predator|detritivore,omnivore,True,"Based on the provided documents, Hemisotoma thermophila is noted to be a dominant species in certain environments, but none of the sources explicitly state what Hemisotoma feeds on. However, one source mentions that nineteen out of twenty-four species identified from cotton fields were predominantly fungal feeders . This suggests that Hemisotoma may have a diet that includes fungi, although this is inferred rather than directly stated.",medline,26313958(medline),1,"Effects of Season and Management of Irrigated Cotton Fields on Collembola (Hexapoda) in New South Wales, Australia..||The effects of production practices on the relative abundance of springtails (Collembola) in irrigated cotton fields of northern New South Wales (NSW) were studied over 2 yr to examine effects of farm management on these decomposer organisms.",2,,
Heteraphorura,Onychiuridae,detritivore,detritivore,True,"Based on the provided documents, Heteraphorura species are primarily detritivores, feeding on decaying organic matter such as leaf litter and soil particles. They play a role in decomposing plant material and contributing to nutrient cycling in forest ecosystems . Specific dietary preferences for individual species within the genus are not detailed in the given texts.",pmc,PMC11203639(pmc),1,,0,,
Heteromurus,Orchesellidae,predator|fungivore|bacterivore|algivore|omnivore,predator,True,"Based on the provided documents, Heteromurus feeds on a variety of substrates including fungi, particularly Agaricomycetes, as well as organic material in soil, nematodes, and possibly bacterial sources. It is noted to consume both fungal and non-fungal materials, indicating a mixed diet .",pmc,PMC9968043(pmc)|PMC9747110(pmc)|PMC6297133(pmc)|10.3897/subtbiol.16.8609(pmc),4,"Diversity and Abundance of Soil Collembola during GM Rice Overexpressing Cry1B-Cry1Aa Cultivations at Four Confined Field Trials in West Java.||The impact of Bacillus thuringiensis (Bt) rice cv Rojolele events expressing Cry1B-Cry1Aa driven by the maize ubiquitin promoter resistant to yellow rice stem borer (YSB, Scirpophaga incertulas Walker) on non-target Collembola community was assessed.||Food sources of selected terrestrial cave arthropods.||Preferences ranged from fungal propagules (for the millipede Trachysphaera costata ) to bacteria on bat guano (for the oribatid mite Pantelozetes cavaticus ) and to cyanobacteria (for the microwhip scorpion Eukoenenia spelaea",4,,
Hymenaphorura,Onychiuridae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Hymenaphorura* species. The sources describe morphological characteristics, taxonomy, and distribution but do not mention dietary preferences . Further research would be needed to determine their ecological niche and food source.",plazi,018EE4D93A7E5EE491F7E265318D60BC(plazi)|BD177DBD12F7513BB272934FABF56792(plazi)|D5A09FD5718A5B9CBCB1B9B5A0930737(plazi),3,"Manolache, among dead needles of Larix .",1,,
Hypogastrura,Hypogastruridae,omnivore|fungivore|algivore|detritivore|herbivore|predator,omnivore,True,"Based on the provided documents, there is no direct mention of what Hypogastrura feeds on. However, it is known that Collembola generally feed on decaying organic matter, algae, lichens, and fungal hyphae . For specific feeding habits of Hypogastrura, further research would be needed.",pmc,PMC4569040(pmc),1,"Indirect effects of habitat disturbance on invasion: nutritious litter from a grazing resistant plant favors alien over native Collembola.||Observations of high density of the invasive springtail (Collembola), Hypogastrura manubrialis in heavily grazed renosterveld vegetation in the Western Cape, South Africa, raised the question of whether the invasion was favored by changes in plant litter quality associated with habitat disturbance in this vegetation type.",2,,
Isotoma,Isotomidae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Isotoma* species. The sources describe morphological features and taxonomic details but do not mention dietary preferences . Further research would be needed to determine their food source.",plazi,03BB5233FF84FFCAE5DA664220C7FE63(plazi)|03BB5233FF80FFCEE5DA61CE2462F844(plazi)|266B5D55F703FF91FF7EFE224506FD51(plazi)|266B5D55F70AFF98FF7EFBAB457DF918(plazi)|580A851EFFDBFFACFF51FCF0FA59FA1C(plazi),5,"1 female and 1 male on slides, KOREA: Shinhapri N 36˚08′19″, E126˚33′16″, Seocheon-gun, Chungcheongnam-do Province; collected from fallen leaves of oak trees, 19–III–2010, leg.",1,,
Isotomiella,Isotomidae,unknown,unknown,True,"Based on the provided documents, Isotomiella minor is described as a euedaphic species that reproduces via parthenogenesis and is noted to be a microbivore in undisturbed ecosystems, indicating it feeds on microbial organisms . Additionally, Isotomiella is mentioned alongside other species that are classified as microbivores, suggesting a similar dietary habit . However, specific details about its exact diet are not explicitly stated in the given texts.",pmc,PMC7934680(pmc),1,,0,,
Isotomodes,Isotomidae,unknown,unknown,False,,,,0,,0,,
Isotomurus,Isotomidae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet of *Isotomurus* species. The sources describe morphological characteristics and distinctions between various *Isotomurus* species but do not mention feeding habits or food sources . Further research would be needed to determine the dietary preferences of these organisms.",plazi,0D38B345FFB81D01DA8BFB7E3666742A(plazi)|0D38B345FFBB1D00DA91FCB3302977FB(plazi)|0D38B345FFBD1D03D953FAFC309C71B0(plazi)|0D38B345FFB61D0FDA8BFF773161760B(plazi)|0D38B345FFBF1D05D952FC81335274F3(plazi),5,,0,,
Kalaphorura,Onychiuridae,detritivore|predator,detritivore,True,"Based on the provided documents, there is no specific information regarding the diet of *Kalaphorura*. However, it is noted that *Kalaphorura carpenteri* was associated with site S in scree habitats . Collembola, in general, play a role in decomposing organic matter and contribute to nutrient cycling, suggesting that *Kalaphorura* may feed on decaying plant material or microbial biomass . Further research would be needed to determine their exact dietary preferences.",pmc,10.3897/subtbiol.40.69808(pmc)|PMC6305484(pmc),2,"Spoil tip production is one of the most extreme means of soil destruction, replacing the native soil with a coarse substrate.||In this paper, we aim to determine the colonization of soil biota in new substrates, using collembola assemblages as an indicator.||We demonstrated that collembola assemblages of spoil tips were different from those observed in the surrounding native soil.",3,,
Katianna,Katiannidae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Katianna* species. The sources describe taxonomic details and morphological characteristics of various *Katianna* species but do not provide data on their ecological interactions or food preferences , . Further research would be needed to determine their dietary habits.",medline,27395532(medline)|24869686(medline),2,"is described from turf and grassy fields in eastern Tennessee, USA.",1,,
Lathriopyga,Neanuridae,omnivore|fungivore|algivore|detritivore|predator,omnivore,True,"Based on the provided documents, there is no explicit information about the diet of *Lathriopyga*. However, general knowledge suggests that springtails (Collembola) often feed on decaying organic matter, fungi, algae, and detritus . For specific dietary habits of *Lathriopyga*, further research would be required.",pmc,PMC4467183(pmc),1,Collembolan species diversity of calcareous canyons in the Republic of Moldova.,1,,
Lepidocyrtus,Lepidocyrtidae,herbivore,herbivore,True,"Based on the provided documents, Lepidocyrtus species, including *Lepidocyrtus chorus* and *Lepidocyrtus nigrosetosus*, are known to ingest pollen, either directly by visiting flowers or through consumption of wind-borne pollen . However, not all species within the genus possess the digestive capability to break down the pollen wall .",plazi,A2620B55FFE2FFF9FF6CFF19FD5A8723(plazi),1,,0,,
Lipothrix,Sminthuridae,unknown,unknown,False,,,,0,,0,,
Marisotoma,Isotomidae,unknown,unknown,False,,,,0,,0,,
Megalothorax,Neelidae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet or feeding habits of Megalothorax species. The sources focus on taxonomic descriptions, morphology, and phylogenetic relationships rather than ecological niches or dietary preferences . Further research would be needed to determine their feeding behavior.",medline,37044660(medline)|26877679(medline)|37518265(medline)|27110149(medline)|40173943(medline),5,globular sensillum on Ant.,1,,
Megaphorura,Onychiuridae,predator,predator,True,"Based on the provided documents, there is no specific information regarding the diet of *Megaphorura arctica*. The sources discuss aspects such as heat tolerance, cryoprotective strategies, and contaminant levels but do not mention feeding habits . Therefore, the dietary preferences of *Megaphorura arctica* are not addressed in the given context.",medline,38841875(medline)|23143920(medline)|24816280(medline)|19622137(medline)|31589028(medline),5,"Surviving the cold: molecular analyses of insect cryoprotective dehydration in the Arctic springtail Megaphorura arctica (Tullberg)..||Arctic-breeding seabirds contain high levels of many anthropogenic contaminants, which they deposit through guano to the tundra near their colonies.||Nutrient-rich soil in vicinity to seabird colonies are favorable habitats for soil invertebrates, such as springtails (Collembola), which may result in exposure to seabird-derived contaminants.",3,,
Mesaphorura,Tullbergiidae,omnivore|fungivore|herbivore|predator,omnivore,True,"Based on the provided documents, Mesaphorura species are part of the Collembola group, which includes both detritivorous and herbivorous feeding habits. Specifically, some Collembola, including Mesaphorura, can consume plant tissue and fine roots, acting as herbivores . Additionally, many Collembola and Oribatida are mycophagous, meaning they feed on fungi . Therefore, Mesaphorura likely feeds on a mix of plant material and fungi.",pmc,PMC7380278(pmc)|PMC3419650(pmc),2,,0,,
Mesogastrura,Hypogastruridae,unknown,unknown,True,"Based on the provided documents, there is no specific information about the feeding habits of Mesogastrura species. The text mentions that these species were found in piles of bat's guano inside caves, suggesting they may be associated with such environments, but it does not specify their diet . Further research would be needed to determine their exact food sources.",medline,37044521(medline),1,,0,,
Metaphorura,Tullbergiidae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Metaphorura*. The sources describe morphological features and taxonomic relationships but do not mention dietary preferences . Further research would be needed to determine what *Metaphorura* feeds on.",plazi,635CDAF4A788D35ED832B7A5DDFC6306(plazi)|B61F5EA3F7BA17E4FB831AC75845F48D(plazi),2,,0,,
Micranurida,Neanuridae,unknown,unknown,True,"Based on the provided documents, there is no specific information about the diet or feeding habits of Micranurida. The text primarily discusses taxonomic revisions and morphological characteristics rather than ecological aspects such as feeding behavior . Further research would be needed to determine the dietary preferences of this genus.",medline,36095384(medline),1,,0,,
Monobella,Neanuridae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Monobella*. The texts describe morphological characteristics and phylogenetic relationships within the family Neanuridae but do not mention ecological preferences or dietary sources of *Monobella* species . Further research would be needed to determine its feeding behavior.",pmc,PMC5904444(pmc)|PMC11432141(pmc),2,,0,,
Neanura,Neanuridae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet of *Neanura*. The sources describe morphological characteristics and taxonomic details but do not mention feeding habits . Further research would be needed to determine the dietary preferences of this genus.",plazi,03AF87BCFF96320D35D0FE43FBEAD163(plazi)|F06FA25FFFD2FF93FF0205EEFB08818D(plazi)|03DA573DFF9E4C22FC5AFC54D7F4FA84(plazi)|266B5D55F76EFFFCFF7EFA724547F86A(plazi)|038187C0945A116EFF31F996FE324FAB(plazi),5,,0,,
Neelides,Neelidae,unknown,unknown,False,,,,0,,0,,
Neelus,Neelidae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet or feeding habits of any Neelus species. The sources describe morphological characteristics but do not mention dietary preferences .",plazi,3545FC68FFF1FFC8A691FEB7C35CABBC(plazi)|D512281BFFD6685AD0D8FB11FDFDFE60(plazi)|D512281BFFDD6841D0D8FE53FCE2FD50(plazi)|DEA8E63A4481B322F5E78861E67246F4(plazi)|03A8760E7B014F6072BBF947D0A07571(plazi),5,(numerous thickened macrosetae in Spinaethorax tonoius comb.,1,,
Oligaphorura,Onychiuridae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Oligaphorura* species. The sources focus on morphological characteristics, taxonomic descriptions, and geographical distributions of these springtails rather than their ecological interactions or food preferences. Therefore, the feeding habits of *Oligaphorura* cannot be determined from the given sources.",medline,22639536(medline),1,,0,,
Oncopodura,Oncopoduridae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet or feeding habits of Oncopodura. The sources focus on morphology, taxonomy, and distribution rather than ecological interactions or food sources , . Further research would be needed to determine their dietary preferences.",medline,39361111(medline)|30647373(medline),2,,0,,
Onychiuroides,Onychiuridae,detritivore,detritivore,True,"Based on the provided documents, there is no explicit information regarding the diet or feeding habits of Onychiuroides species. The sources primarily focus on taxonomy, distribution, and ecological preferences such as habitat types like soil and leaf litter, but do not specify dietary information for Onychiuroides . Therefore, the feeding ecology of Onychiuroides remains unspecified in the given context.",pmc,10.3897/subtbiol.40.69808(pmc)|10.11646/zootaxa.5275.1.1(pmc)|10.11646/zootaxa.5147.1.1(pmc),3,,0,,
